year,municipality,type_of_debt,mean_debt_euro
2003,Marttila,Loans charged on business activities or a source of income,18093
2003,Oripää,Loans charged on business activities or a source of income,17079
2003,Pöytyä,Loans charged on business activities or a source of income,11329
2003,Salo,Loans charged on business activities or a source of income,5844
2003,Somero,Loans charged on business activities or a source of income,15275
2003,Kaarina,Loans charged on business activities or a source of income,3661
2003,Lieto,Loans charged on business activities or a source of income,5619
2003,Masku,Loans charged on business activities or a source of income,4994
2003,Mynämäki,Loans charged on business activities or a source of income,11411
2003,Naantali,Loans charged on business activities or a source of income,6002
2003,Nousiainen,Loans charged on business activities or a source of income,10238
2003,Paimio,Loans charged on business activities or a source of income,7855
2003,Raisio,Loans charged on business activities or a source of income,2351
2003,Rusko,Loans charged on business activities or a source of income,8846
2003,Sauvo,Loans charged on business activities or a source of income,17221
2003,Turku,Loans charged on business activities or a source of income,1745
2003,Kustavi,Loans charged on business activities or a source of income,7156
2003,Laitila,Loans charged on business activities or a source of income,9507
2003,Pyhäranta,Loans charged on business activities or a source of income,5334
2003,Taivassalo,Loans charged on business activities or a source of income,15404
2003,Uusikaupunki,Loans charged on business activities or a source of income,3688
2003,Vehmaa,Loans charged on business activities or a source of income,21777
2003,Kemiönsaari,Loans charged on business activities or a source of income,6271
2003,Parainen,Loans charged on business activities or a source of income,3922
2003,Forssa,Loans charged on business activities or a source of income,2441
2003,Humppila,Loans charged on business activities or a source of income,10085
2003,Jokioinen,Loans charged on business activities or a source of income,6407
2003,Tammela,Loans charged on business activities or a source of income,6627
2003,Ypäjä,Loans charged on business activities or a source of income,14363
2003,Hattula,Loans charged on business activities or a source of income,3627
2003,Hämeenlinna,Loans charged on business activities or a source of income,2318
2003,Janakkala,Loans charged on business activities or a source of income,4025
2003,Hausjärvi,Loans charged on business activities or a source of income,13455
2003,Loppi,Loans charged on business activities or a source of income,5629
2003,Riihimäki,Loans charged on business activities or a source of income,1360
2003,Asikkala,Loans charged on business activities or a source of income,3606
2003,Hartola,Loans charged on business activities or a source of income,8880
2003,Heinola,Loans charged on business activities or a source of income,1995
2003,Hollola,Loans charged on business activities or a source of income,4300
2003,Kärkölä,Loans charged on business activities or a source of income,5274
2003,Lahti,Loans charged on business activities or a source of income,1430
2003,Orimattila,Loans charged on business activities or a source of income,5676
2003,Padasjoki,Loans charged on business activities or a source of income,4441
2003,Sysmä,Loans charged on business activities or a source of income,11192
2003,Hamina,Loans charged on business activities or a source of income,2093
2003,Kotka,Loans charged on business activities or a source of income,1286
2003,Miehikkälä,Loans charged on business activities or a source of income,8043
2003,Pyhtää,Loans charged on business activities or a source of income,4016
2003,Virolahti,Loans charged on business activities or a source of income,4888
2003,Iitti,Loans charged on business activities or a source of income,7179
2003,Kouvola,Loans charged on business activities or a source of income,2463
2003,Imatra,Loans charged on business activities or a source of income,934
2003,Parikkala,Loans charged on business activities or a source of income,6578
2003,Rautjärvi,Loans charged on business activities or a source of income,3089
2003,Ruokolahti,Loans charged on business activities or a source of income,3604
2003,Lappeenranta,Loans charged on business activities or a source of income,1931
2003,Lemi,Loans charged on business activities or a source of income,6818
2003,Luumäki,Loans charged on business activities or a source of income,4969
2003,Savitaipale,Loans charged on business activities or a source of income,4503
2003,Taipalsaari,Loans charged on business activities or a source of income,6179
2003,Jämijärvi,Loans charged on business activities or a source of income,13046
2003,Kankaanpää,Loans charged on business activities or a source of income,6516
2003,Karvia,Loans charged on business activities or a source of income,12640
2003,Siikainen,Loans charged on business activities or a source of income,10240
2003,Harjavalta,Loans charged on business activities or a source of income,2850
2003,Huittinen,Loans charged on business activities or a source of income,12952
2003,Kokemäki,Loans charged on business activities or a source of income,7026
2003,Merikarvia,Loans charged on business activities or a source of income,4719
2003,Nakkila,Loans charged on business activities or a source of income,5223
2003,Pomarkku,Loans charged on business activities or a source of income,5197
2003,Pori,Loans charged on business activities or a source of income,2319
2003,Ulvila,Loans charged on business activities or a source of income,3305
2003,Eura,Loans charged on business activities or a source of income,6869
2003,Eurajoki,Loans charged on business activities or a source of income,7121
2003,Rauma,Loans charged on business activities or a source of income,2501
2003,Säkylä,Loans charged on business activities or a source of income,8570
2003,Akaa,Loans charged on business activities or a source of income,2875
