Municipality,Year,Mental health score
Posio,2001,0.06881825251725811
Posio,2002,0.33375477825234723
Posio,2003,0.17352750214753446
Posio,2004,0.38453335660808435
Posio,2005,0.3964155730933659
Posio,2006,1.6854167550875474
Posio,2007,1.8442189366974147
Posio,2008,1.9029970625667119
Posio,2009,0.7448643342224915
Posio,2010,0.5815712364271136
Posio,2011,0.5843588283009024
Posio,2012,0.7460348205702259
Posio,2013,0.43747064058194834
Posio,2014,1.062124481880937
Posio,2015,0.6566360864612519
Posio,2016,1.0276390918295564
Posio,2017,1.4555821934582154
Posio,2018,1.6404164622320614
Posio,2019,1.34969716543385
Posio,2020,0.6981048311844555
Posio,2021,1.3941394190740848
Posio,2022,1.6534212555211478
Posio,2023,1.846290022453984
Pudasjärvi,1997,-0.5796797223633073
Pudasjärvi,1998,-0.7068517621510899
Pudasjärvi,1999,-0.2834005394183699
Pudasjärvi,2000,-0.28370480891904315
Pudasjärvi,2001,-0.11115712299511366
Pudasjärvi,2002,-0.13674686765110702
Pudasjärvi,2003,-0.027973169092380377
Pudasjärvi,2004,0.07705406253682341
Pudasjärvi,2005,-0.09852413325312696
Pudasjärvi,2006,0.4107714218739096
Pudasjärvi,2007,0.5831748343835823
Pudasjärvi,2008,0.7114355454765839
Pudasjärvi,2009,0.7365974243598086
Pudasjärvi,2010,0.7638677618110348
Pudasjärvi,2011,0.5265040869249097
Pudasjärvi,2012,0.43032748947399263
Pudasjärvi,2013,0.3665491210843358
Pudasjärvi,2014,0.13655734939250685
Pudasjärvi,2015,0.1331925764778497
Pudasjärvi,2016,0.5798663505014177
Pudasjärvi,2017,1.0586709254852416
Pudasjärvi,2018,0.9884919816878078
Pudasjärvi,2019,1.043643983872339
Pudasjärvi,2020,0.9239214990122527
Pudasjärvi,2021,1.1020346289619274
Pudasjärvi,2022,0.8237815287383392
Pudasjärvi,2023,0.998104529331587
Pukkila,1997,-1.913359879540555
Pukkila,1998,-1.7554623600873789
Pukkila,1999,-1.6787232848721245
Pukkila,2000,-1.6170562489535476
Pukkila,2001,-1.5980350654725473
Pukkila,2002,-1.4961726697168447
Pukkila,2003,-1.8015981602573257
Pukkila,2004,-1.6986994174595123
Pukkila,2005,-1.3299814682237134
Pukkila,2006,-1.0099938244952924
Pukkila,2007,-1.2154072637097464
Pukkila,2008,-0.8334638344385749
Pukkila,2009,-0.9064763330621366
Pukkila,2010,-0.7827908529129498
Pukkila,2011,-0.6694952370093976
Pukkila,2012,-0.7558934922273626
Pukkila,2013,-0.9335802563089592
Pukkila,2014,-0.8504579704716999
Pukkila,2015,-0.8352258271860785
Pukkila,2016,-0.8155919892836363
Pukkila,2017,-0.5619743748629109
Pukkila,2018,-0.014886124524250227
Pukkila,2019,-0.3948230818150607
Pukkila,2020,-0.5348451095457942
Pukkila,2021,-0.051748764147947775
Pukkila,2022,-0.5608730028084572
Pukkila,2023,-0.3666011709398211
Punkalaidun,1997,-0.8201359129154698
Punkalaidun,1998,-0.9496953089406741
Punkalaidun,1999,-0.912216469548269
Punkalaidun,2000,-0.8401336053443345
Punkalaidun,2001,-0.6214112243631666
Punkalaidun,2002,-0.5715725617736112
Punkalaidun,2003,-0.7007603755880863
Punkalaidun,2004,-0.505297318350941
Punkalaidun,2005,-0.0628574054148093
Punkalaidun,2006,-0.19326490034102897
Punkalaidun,2007,-0.2047851852798166
Punkalaidun,2008,-0.14541386290876304
Punkalaidun,2009,0.04003159853466259
Punkalaidun,2010,0.17930703297264936
Punkalaidun,2011,0.23898523589089748
Punkalaidun,2012,0.17904593955372577
Punkalaidun,2013,0.26754471295798116
Punkalaidun,2014,0.30633422937156246
