Municipality,Year,"Rehabilitative psychotherapy, recipients aged 16-64, combined","Reimbursements for depression medicines, recipients all ages, combined","Sickness allowance for mental health reasons, recipients aged 18-64, combined"
Juupajoki,2011,-0.13068950551888128,0.317418620795305,0.6229926640295753
Juupajoki,2012,-0.13068950551888128,0.32555454424602964,-0.8426528068162124
Juupajoki,2013,-0.13068950551888128,0.10926815420092985,-0.6917742254586237
Juupajoki,2014,-0.13068950551888128,0.3907544521818068,-1.1449597898374757
Juupajoki,2015,-0.13068950551888128,0.8067940207575779,-0.9701918570777699
Juupajoki,2016,-0.11179451325538925,0.43375156783200725,0.6776090081322897
Juupajoki,2017,0.5873202004938182,0.7079804778868326,1.8227961452410055
Juupajoki,2018,1.0596950070811204,0.7304075106979541,1.8105378065518236
Juupajoki,2019,1.0974849916081046,1.459142850311418,2.2720554618070943
Juupajoki,2020,1.626544774985883,0.7370100295910407,1.1177538965053955
Juupajoki,2021,1.1730649606620729,1.2321094129217265,2.07638707680115
Juupajoki,2022,0.7195851463382628,1.5785803045846702,2.752041771073783
Juupajoki,2023,1.0785899993446126,1.8195813059203547,3.8591919595474935
Juva,1997,-0.8675942037950729,-1.4110623075051247,-0.9163651309065888
Juva,1998,-0.8675942037950729,-1.231939536994879,-0.9163651309065888
Juva,1999,-0.8675942037950729,-0.8151374422592865,-0.9163651309065888
Juva,2000,-0.8675942037950729,-0.7282191991087813,-0.9163651309065888
Juva,2001,-0.8675942037950729,-0.6113538890218837,-0.9163651309065888
Juva,2002,-0.8675942037950729,-0.5216546840492328,-0.9163651309065888
Juva,2003,-0.8675942037950729,-0.2647753402320851,-0.9163651309065888
Juva,2004,-0.8675942037950729,-0.4473339415974431,-0.9163651309065888
Juva,2005,-0.8109092270045967,-0.2813558836920228,-0.727766904209603
Juva,2006,-0.7542242502141202,-0.09023015633468162,-0.5949621678976638
Juva,2007,-0.8109092270045967,0.0750392039743448,-0.17053683200554431
Juva,2008,-0.6408542966331677,0.1992435726424751,-0.34216085426905285
Juva,2009,-0.7920142347411044,0.3983418821401805,-0.3878177815191024
Juva,2010,-0.7920142347411044,0.7574770963011045,-0.6029769554784761
Juva,2011,-0.678644281160152,0.6119939471975014,-0.8707082036565392
Juva,2012,-0.7164342656871362,0.9252044470517118,-1.0523912833848847
Juva,2013,-0.3007444358903102,0.6988797072584139,-1.0030406253325521
Juva,2014,-0.22516446683634175,0.42809312467661886,-0.6509106696230295
Juva,2015,0.11494539390651588,0.26626794746070165,-1.0838231077318878
Juva,2016,0.13384038617000787,0.07570892186322664,-0.7486673564558424
Juva,2017,0.03936542485254742,-0.027856686546480658,-0.8703909003609318
Juva,2018,-0.055109536464913,0.18652542158106777,-0.7365640291069802
Juva,2019,0.19052536296048425,0.22765909064130735,0.4192319857726586
Juva,2020,0.6629001695477865,0.8377603374689302,0.9935137680803543
Juva,2021,0.776270123128739,0.9061352856806785,1.1070675130643122
Juva,2022,0.6062151927573101,1.2838369958742721,1.653611201827289
Juva,2023,0.3227903088049288,1.2645274635355372,1.0188975690604105
Jyväskylä,1997,-0.6527123409952964,-1.4894607566091551,0.2013164296678858
Jyväskylä,1998,-0.5911256776900632,-1.3587290430852008,0.2013164296678858
Jyväskylä,1999,-0.4875590971386245,-1.075993332219738,0.2013164296678858
Jyväskylä,2000,-0.49246078365338136,-0.7779803193423507,0.2013164296678858
