"Year","Municipality","Type of debt","Household-dwelling units","Debts (euros)","Debts, mean (euros)"
"2018","Kemiönsaari","Housing loans","All household-dwelling units",107753531,31833
"2018","Kemiönsaari","Other debts","All household-dwelling units",45739038,13512
"2018","Kemiönsaari","Loans charged on business activities or a source of income","All household-dwelling units",25339155,7486
"2018","Kemiönsaari","Study loans","All household-dwelling units",.,.
"2018","Parainen","Debts total","All household-dwelling units",482482868,67908
"2018","Parainen","Housing loans","All household-dwelling units",346888316,48823
"2018","Parainen","Other debts","All household-dwelling units",99965398,14070
"2018","Parainen","Loans charged on business activities or a source of income","All household-dwelling units",35629172,5015
"2018","Parainen","Study loans","All household-dwelling units",.,.
"2018","Forssa","Debts total","All household-dwelling units",302799125,32721
"2018","Forssa","Housing loans","All household-dwelling units",210388582,22735
"2018","Forssa","Other debts","All household-dwelling units",76561784,8273
"2018","Forssa","Loans charged on business activities or a source of income","All household-dwelling units",15848785,1713
"2018","Forssa","Study loans","All household-dwelling units",.,.
"2018","Humppila","Debts total","All household-dwelling units",45497657,40805
"2018","Humppila","Housing loans","All household-dwelling units",24189805,21695
"2018","Humppila","Other debts","All household-dwelling units",15872455,14235
"2018","Humppila","Loans charged on business activities or a source of income","All household-dwelling units",5435381,4875
"2018","Humppila","Study loans","All household-dwelling units",.,.
"2018","Jokioinen","Debts total","All household-dwelling units",132016766,54239
"2018","Jokioinen","Housing loans","All household-dwelling units",76334792,31362
"2018","Jokioinen","Other debts","All household-dwelling units",36901315,15161
"2018","Jokioinen","Loans charged on business activities or a source of income","All household-dwelling units",18780666,7716
"2018","Jokioinen","Study loans","All household-dwelling units",.,.
"2018","Tammela","Debts total","All household-dwelling units",147334691,52695
"2018","Tammela","Housing loans","All household-dwelling units",92887653,33222
"2018","Tammela","Other debts","All household-dwelling units",42590784,15233
"2018","Tammela","Loans charged on business activities or a source of income","All household-dwelling units",11856272,4240
"2018","Tammela","Study loans","All household-dwelling units",.,.
"2018","Ypäjä","Debts total","All household-dwelling units",61135820,53069
"2018","Ypäjä","Housing loans","All household-dwelling units",29546686,25648
"2018","Ypäjä","Other debts","All household-dwelling units",25821047,22414
"2018","Ypäjä","Loans charged on business activities or a source of income","All household-dwelling units",5768082,5007
"2018","Ypäjä","Study loans","All household-dwelling units",.,.
"2018","Hattula","Debts total","All household-dwelling units",292456264,69401
"2018","Hattula","Housing loans","All household-dwelling units",213299030,50617
"2018","Hattula","Other debts","All household-dwelling units",60983384,14472
"2018","Hattula","Loans charged on business activities or a source of income","All household-dwelling units",18173810,4313
"2018","Hattula","Study loans","All household-dwelling units",.,.
"2018","Hämeenlinna","Debts total","All household-dwelling units",1687333811,48754
"2018","Hämeenlinna","Housing loans","All household-dwelling units",1229939655,35538
"2018","Hämeenlinna","Other debts","All household-dwelling units",367654611,10623
"2018","Hämeenlinna","Loans charged on business activities or a source of income","All household-dwelling units",89739575,2593
"2018","Hämeenlinna","Study loans","All household-dwelling units",.,.
"2018","Janakkala","Debts total","All household-dwelling units",459970495,59267
"2018","Janakkala","Housing loans","All household-dwelling units",336074761,43303
"2018","Janakkala","Other debts","All household-dwelling units",93747963,12079
"2018","Janakkala","Loans charged on business activities or a source of income","All household-dwelling units",30147733,3885
"2018","Janakkala","Study loans","All household-dwelling units",.,.
"2018","Hausjärvi","Debts total","All household-dwelling units",285561949,76702
"2018","Hausjärvi","Housing loans","All household-dwelling units",177289573,47620
"2018","Hausjärvi","Other debts","All household-dwelling units",50589898,13588
"2018","Hausjärvi","Loans charged on business activities or a source of income","All household-dwelling units",57682505,15494
"2018","Hausjärvi","Study loans","All household-dwelling units",.,.
"2018","Loppi","Debts total","All household-dwelling units",210342108,60029
"2018","Loppi","Housing loans","All household-dwelling units",147831593,42189
"2018","Loppi","Other debts","All household-dwelling units",49680291,14178
"2018","Loppi","Loans charged on business activities or a source of income","All household-dwelling units",12830231,3662
"2018","Loppi","Study loans","All household-dwelling units",.,.
"2018","Riihimäki","Debts total","All household-dwelling units",707476016,48845
"2018","Riihimäki","Housing loans","All household-dwelling units",535684223,36985
"2018","Riihimäki","Other debts","All household-dwelling units",144309841,9963
"2018","Riihimäki","Loans charged on business activities or a source of income","All household-dwelling units",27481996,1897
"2018","Riihimäki","Study loans","All household-dwelling units",.,.
"2018","Asikkala","Debts total","All household-dwelling units",187965138,46618
"2018","Asikkala","Housing loans","All household-dwelling units",120111837,29790
"2018","Asikkala","Other debts","All household-dwelling units",51306913,12725
"2018","Asikkala","Loans charged on business activities or a source of income","All household-dwelling units",16546414,4104
"2018","Asikkala","Study loans","All household-dwelling units",.,.
"2018","Hartola","Debts total","All household-dwelling units",45855242,30089
"2018","Hartola","Housing loans","All household-dwelling units",22656962,14867
"2018","Hartola","Other debts","All household-dwelling units",17033016,11177
"2018","Hartola","Loans charged on business activities or a source of income","All household-dwelling units",6165278,4045
"2018","Hartola","Study loans","All household-dwelling units",.,.
"2018","Heinola","Debts total","All household-dwelling units",298724959,29124
"2018","Heinola","Housing loans","All household-dwelling units",204324812,19921
"2018","Heinola","Other debts","All household-dwelling units",78552238,7658
"2018","Heinola","Loans charged on business activities or a source of income","All household-dwelling units",15847976,1545
"2018","Heinola","Study loans","All household-dwelling units",.,.
"2018","Hollola","Debts total","All household-dwelling units",625181783,58818
"2018","Hollola","Housing loans","All household-dwelling units",442161883,41600
"2018","Hollola","Other debts","All household-dwelling units",141523487,13315
"2018","Hollola","Loans charged on business activities or a source of income","All household-dwelling units",41496513,3904
"2018","Hollola","Study loans","All household-dwelling units",.,.
"2018","Kärkölä","Debts total","All household-dwelling units",97014383,44482
"2018","Kärkölä","Housing loans","All household-dwelling units",62605866,28705
"2018","Kärkölä","Other debts","All household-dwelling units",26834456,12304
"2018","Kärkölä","Loans charged on business activities or a source of income","All household-dwelling units",7574081,3473
"2018","Kärkölä","Study loans","All household-dwelling units",.,.
"2018","Lahti","Debts total","All household-dwelling units",2621757227,41044
"2018","Lahti","Housing loans","All household-dwelling units",1917464369,30019
"2018","Lahti","Other debts","All household-dwelling units",553484873,8665
"2018","Lahti","Loans charged on business activities or a source of income","All household-dwelling units",150808247,2361
"2018","Lahti","Study loans","All household-dwelling units",.,.
