"Year","Municipality","Type of debt","Household-dwelling units","Debts (euros)","Debts, mean (euros)"
"2002","Virolahti","Study loans","All household-dwelling units",541983,322
"2002","Iitti","Debts total","All household-dwelling units",82528656,24338
"2002","Iitti","Housing loans","All household-dwelling units",38590119,11380
"2002","Iitti","Other debts","All household-dwelling units",19837942,5850
"2002","Iitti","Loans charged on business activities or a source of income","All household-dwelling units",22430349,6615
"2002","Iitti","Study loans","All household-dwelling units",1670199,493
"2002","Kouvola","Debts total","All household-dwelling units",941064316,22129
"2002","Kouvola","Housing loans","All household-dwelling units",578891389,13612
"2002","Kouvola","Other debts","All household-dwelling units",234449455,5513
"2002","Kouvola","Loans charged on business activities or a source of income","All household-dwelling units",103319620,2430
"2002","Kouvola","Study loans","All household-dwelling units",24403796,574
"2002","Imatra","Debts total","All household-dwelling units",326063887,22154
"2002","Imatra","Housing loans","All household-dwelling units",222881884,15143
"2002","Imatra","Other debts","All household-dwelling units",80033064,5438
"2002","Imatra","Loans charged on business activities or a source of income","All household-dwelling units",13687473,930
"2002","Imatra","Study loans","All household-dwelling units",9461445,643
"2002","Parikkala","Debts total","All household-dwelling units",59327792,20180
"2002","Parikkala","Housing loans","All household-dwelling units",24781769,8429
"2002","Parikkala","Other debts","All household-dwelling units",14713870,5005
"2002","Parikkala","Loans charged on business activities or a source of income","All household-dwelling units",18925787,6437
"2002","Parikkala","Study loans","All household-dwelling units",906377,308
"2002","Rautjärvi","Debts total","All household-dwelling units",42241388,20535
"2002","Rautjärvi","Housing loans","All household-dwelling units",22835985,11102
"2002","Rautjärvi","Other debts","All household-dwelling units",12208484,5935
"2002","Rautjärvi","Loans charged on business activities or a source of income","All household-dwelling units",6539740,3179
"2002","Rautjärvi","Study loans","All household-dwelling units",657180,319
"2002","Ruokolahti","Debts total","All household-dwelling units",66592456,25063
"2002","Ruokolahti","Housing loans","All household-dwelling units",39378684,14821
