kunta_nimi,vuosi,Elatustuki,Eläke-etuudet (pl. takuueläke),Eläketuki,Eläkkeensaajan asumistuki,Erityishoitoraha,Koulumatkatuki,Kuntoutus,Kuntoutusraha,Lapsilisä,Lastenhoidon tuet,Maahanmuuttajan erityistuki,Opintolainahyvitys,Opintolainan korkoavustus,Opintolainavähennys,"Opintotuki (opintoraha, asumislisä, lainatakaus)",Perhevapaakorvaus,Perustoimeentulotuki,Sairaanhoitokorvaukset,Sairauspäivärahat,Sotilasavustus,Takuueläke,Työttömyysturva,Vammaisetuudet,Vanhempainpäiväraha,Vuosilomakustannuskorvaus,Väliaikainen sähkötuki,Yleinen asumistuki,Äitiysavustus
Alavus,2022,163.92307692307693,2140.5384615384614,4.75,455.53846153846155,10.0,124.84615384615384,124.0,36.46153846153846,997.0769230769231,126.53846153846153,0.0,7.666666666666667,4.0,11.0,251.0,13.5,146.15384615384616,3758.769230769231,277.38461538461536,6.6923076923076925,341.2307692307692,246.6153846153846,760.5384615384615,90.61538461538461,11.333333333333334,4.0,295.38461538461536,12.923076923076923
Alavus,2023,156.3846153846154,2058.5384615384614,4.75,433.15384615384613,11.0,154.75,136.30769230769232,48.07692307692308,970.8461538461538,108.61538461538461,0.0,10.666666666666666,4.0,11.0,234.15384615384616,11.5,144.15384615384616,3719.153846153846,167.53846153846155,8.23076923076923,329.84615384615387,261.7692307692308,736.3846153846154,90.23076923076923,9.88888888888889,4.0,309.53846153846155,10.9
Alavus,2024,147.0,1981.875,4.75,451.625,11.0,134.42857142857142,121.75,39.5,946.0,103.625,0.0,4.0,4.0,11.0,186.875,6.0,126.5,3262.75,125.625,5.0,316.5,258.0,701.5,70.25,5.2,4.0,351.875,6.571428571428571
Asikkala,2008,147.0,0.0,0.0,0.0,7.0,224.0,108.0,72.0,872.0,169.0,0.0,4.0,4.0,11.0,326.0,6.0,126.5,6455.0,460.0,5.0,316.5,301.0,0.0,183.0,37.0,4.0,0.0,70.0
Asikkala,2009,0.0,0.0,0.0,0.0,12.0,197.0,98.0,74.0,857.0,155.0,0.0,4.0,4.0,6.0,317.0,6.0,126.5,6508.0,481.0,8.0,316.5,332.0,0.0,178.0,22.0,4.0,0.0,63.0
Asikkala,2010,0.0,0.0,0.0,0.0,5.0,222.0,80.0,48.0,857.0,200.0,0.0,4.0,4.0,6.0,292.0,6.0,126.5,6565.0,450.0,12.0,316.5,335.0,0.0,188.0,42.0,4.0,0.0,62.0
Asikkala,2011,0.0,0.0,0.0,0.0,8.0,201.0,93.0,62.0,826.0,195.0,0.0,4.0,4.0,6.0,279.0,6.0,126.5,6571.0,482.0,5.0,0.0,316.0,0.0,165.0,26.0,4.0,0.0,56.0
Asikkala,2012,0.0,0.0,0.0,0.0,10.0,219.0,102.0,59.0,825.0,194.0,0.0,4.0,4.0,6.0,291.0,6.0,126.5,6487.0,492.0,6.0,0.0,311.0,0.0,186.0,37.0,4.0,0.0,64.0
Asikkala,2013,0.0,0.0,0.0,0.0,4.0,212.0,110.0,67.0,801.0,197.0,0.0,4.0,4.0,6.0,267.0,6.0,126.5,6452.0,455.0,11.0,0.0,339.0,0.0,180.0,39.0,4.0,0.0,74.0
Asikkala,2014,0.0,0.0,0.0,0.0,8.0,204.0,97.0,62.0,791.0,215.0,0.0,4.0,4.0,6.0,264.0,6.0,126.5,6485.0,450.0,5.0,0.0,391.0,0.0,179.0,36.0,4.0,0.0,53.0
Asikkala,2015,0.0,0.0,0.0,0.0,10.0,209.0,91.0,57.0,763.0,171.0,0.0,4.0,4.0,7.0,271.0,6.0,126.5,6467.0,450.0,7.0,0.0,381.0,0.0,172.0,38.0,4.0,0.0,58.0
Asikkala,2016,0.0,0.0,0.0,0.0,10.0,193.0,85.0,42.0,762.0,178.0,0.0,4.0,4.0,6.0,286.0,6.0,126.5,5795.0,407.0,4.0,0.0,345.0,0.0,167.0,27.0,4.0,0.0,50.0
Asikkala,2017,0.0,0.0,0.0,0.0,5.0,192.0,82.0,37.0,761.0,173.0,0.0,4.0,4.0,6.0,261.0,6.0,0.0,5723.0,416.0,7.0,0.0,357.0,0.0,153.0,32.0,4.0,0.0,51.0
Asikkala,2018,85.07692307692308,1222.923076923077,0.0,297.0,8.0,109.08333333333333,48.92307692307692,12.153846153846153,699.8461538461538,112.23076923076923,0.0,5.5,4.0,6.0,149.84615384615384,12.0,100.53846153846153,2900.153846153846,109.23076923076923,4.846153846153846,145.23076923076923,215.69230769230768,375.46153846153845,56.61538461538461,11.75,4.0,232.07692307692307,12.2
