year,municipality,type_of_debt,mean_debt_euro
2004,Sysmä,Housing loans,11136
2004,Hamina,Housing loans,19573
2004,Kotka,Housing loans,18517
2004,Miehikkälä,Housing loans,9604
2004,Pyhtää,Housing loans,21769
2004,Virolahti,Housing loans,13559
2004,Iitti,Housing loans,15170
2004,Kouvola,Housing loans,17587
2004,Imatra,Housing loans,19049
2004,Parikkala,Housing loans,10850
2004,Rautjärvi,Housing loans,12394
2004,Ruokolahti,Housing loans,19951
2004,Lappeenranta,Housing loans,20683
2004,Lemi,Housing loans,26119
2004,Luumäki,Housing loans,14478
2004,Savitaipale,Housing loans,12006
2004,Taipalsaari,Housing loans,33006
2004,Jämijärvi,Housing loans,13768
2004,Kankaanpää,Housing loans,16324
2004,Karvia,Housing loans,10458
2004,Siikainen,Housing loans,10190
2004,Harjavalta,Housing loans,15836
2004,Huittinen,Housing loans,17498
2004,Kokemäki,Housing loans,14550
2004,Merikarvia,Housing loans,11853
2004,Nakkila,Housing loans,19899
2004,Pomarkku,Housing loans,11550
2004,Pori,Housing loans,20017
2004,Ulvila,Housing loans,23956
2004,Eura,Housing loans,16346
2004,Eurajoki,Housing loans,22935
2004,Rauma,Housing loans,21603
2004,Säkylä,Housing loans,18415
2004,Akaa,Housing loans,25170
2004,Urjala,Housing loans,13935
2004,Valkeakoski,Housing loans,21256
2004,Punkalaidun,Housing loans,8615
2004,Sastamala,Housing loans,17275
2004,Ikaalinen,Housing loans,17315
2004,Kihniö,Housing loans,11474
2004,Parkano,Housing loans,13443
2004,Hämeenkyrö,Housing loans,21817
2004,Kangasala,Housing loans,33628
2004,Lempäälä,Housing loans,37721
2004,Nokia,Housing loans,32171
2004,Orivesi,Housing loans,19080
2004,Pirkkala,Housing loans,41561
2004,Pälkäne,Housing loans,21069
2004,Tampere,Housing loans,21057
2004,Vesilahti,Housing loans,33768
2004,Ylöjärvi,Housing loans,36188
2004,Juupajoki,Housing loans,16896
2004,Mänttä-Vilppula,Housing loans,13650
2004,Ruovesi,Housing loans,15548
2004,Virrat,Housing loans,12963
2004,Joutsa,Housing loans,13253
2004,Luhanka,Housing loans,10391
2004,Hankasalmi,Housing loans,14029
2004,Jyväskylä,Housing loans,23357
2004,Laukaa,Housing loans,30535
2004,Muurame,Housing loans,38516
2004,Petäjävesi,Housing loans,18992
2004,Toivakka,Housing loans,18226
