year,municipality,type_of_debt,mean_debt_euro
2004,Oripää,Debts total,42883
2004,Pöytyä,Debts total,42503
2004,Salo,Debts total,39074
2004,Somero,Debts total,40485
2004,Kaarina,Debts total,52714
2004,Lieto,Debts total,53647
2004,Masku,Debts total,62940
2004,Mynämäki,Debts total,47042
2004,Naantali,Debts total,52816
2004,Nousiainen,Debts total,60469
2004,Paimio,Debts total,46189
2004,Raisio,Debts total,42578
2004,Rusko,Debts total,65641
2004,Sauvo,Debts total,52590
2004,Turku,Debts total,26082
2004,Kustavi,Debts total,28337
2004,Laitila,Debts total,37472
2004,Pyhäranta,Debts total,33928
2004,Taivassalo,Debts total,41592
2004,Uusikaupunki,Debts total,28746
2004,Vehmaa,Debts total,50554
2004,Kemiönsaari,Debts total,32206
2004,Parainen,Debts total,40498
2004,Forssa,Debts total,27228
2004,Humppila,Debts total,37198
2004,Jokioinen,Debts total,41944
2004,Tammela,Debts total,37614
2004,Ypäjä,Debts total,40561
2004,Hattula,Debts total,46226
2004,Hämeenlinna,Debts total,34962
2004,Janakkala,Debts total,39522
2004,Hausjärvi,Debts total,54736
2004,Loppi,Debts total,41904
2004,Riihimäki,Debts total,33813
2004,Asikkala,Debts total,36194
2004,Hartola,Debts total,26543
2004,Heinola,Debts total,25719
2004,Hollola,Debts total,42609
2004,Kärkölä,Debts total,35659
2004,Lahti,Debts total,29238
2004,Orimattila,Debts total,35773
2004,Padasjoki,Debts total,25502
2004,Sysmä,Debts total,32831
2004,Hamina,Debts total,28913
2004,Kotka,Debts total,26713
2004,Miehikkälä,Debts total,24756
2004,Pyhtää,Debts total,35120
2004,Virolahti,Debts total,25426
2004,Iitti,Debts total,29161
2004,Kouvola,Debts total,27258
2004,Imatra,Debts total,26858
2004,Parikkala,Debts total,23288
2004,Rautjärvi,Debts total,22539
2004,Ruokolahti,Debts total,31205
2004,Lappeenranta,Debts total,29666
2004,Lemi,Debts total,41367
2004,Luumäki,Debts total,27345
2004,Savitaipale,Debts total,23510
2004,Taipalsaari,Debts total,50963
