year,municipality,type_of_debt,mean_debt_euro
2004,Mynämäki,Other debts,9739
2004,Naantali,Other debts,11005
2004,Nousiainen,Other debts,11420
2004,Paimio,Other debts,9290
2004,Raisio,Other debts,7448
2004,Rusko,Other debts,10306
2004,Sauvo,Other debts,11560
2004,Turku,Other debts,5346
2004,Kustavi,Other debts,8742
2004,Laitila,Other debts,7308
2004,Pyhäranta,Other debts,9517
2004,Taivassalo,Other debts,8232
2004,Uusikaupunki,Other debts,6482
2004,Vehmaa,Other debts,8179
2004,Kemiönsaari,Other debts,8110
2004,Parainen,Other debts,7419
2004,Forssa,Other debts,6336
2004,Humppila,Other debts,8609
2004,Jokioinen,Other debts,9812
2004,Tammela,Other debts,8899
2004,Ypäjä,Other debts,7875
2004,Hattula,Other debts,9100
2004,Hämeenlinna,Other debts,6744
2004,Janakkala,Other debts,7851
2004,Hausjärvi,Other debts,9424
2004,Loppi,Other debts,8686
2004,Riihimäki,Other debts,6409
2004,Asikkala,Other debts,9720
2004,Hartola,Other debts,6612
2004,Heinola,Other debts,5842
2004,Hollola,Other debts,7812
2004,Kärkölä,Other debts,8200
2004,Lahti,Other debts,5775
2004,Orimattila,Other debts,7630
2004,Padasjoki,Other debts,7957
2004,Sysmä,Other debts,10015
2004,Hamina,Other debts,6797
2004,Kotka,Other debts,6203
2004,Miehikkälä,Other debts,6726
2004,Pyhtää,Other debts,9216
2004,Virolahti,Other debts,6345
2004,Iitti,Other debts,7182
2004,Kouvola,Other debts,6583
2004,Imatra,Other debts,6247
2004,Parikkala,Other debts,5536
2004,Rautjärvi,Other debts,6760
2004,Ruokolahti,Other debts,7222
2004,Lappeenranta,Other debts,6074
2004,Lemi,Other debts,8391
2004,Luumäki,Other debts,6549
2004,Savitaipale,Other debts,6364
2004,Taipalsaari,Other debts,11121
2004,Jämijärvi,Other debts,8276
2004,Kankaanpää,Other debts,7015
2004,Karvia,Other debts,7901
2004,Siikainen,Other debts,7522
2004,Harjavalta,Other debts,5983
2004,Huittinen,Other debts,8360
2004,Kokemäki,Other debts,5484
2004,Merikarvia,Other debts,7007
2004,Nakkila,Other debts,8311
2004,Pomarkku,Other debts,7226
2004,Pori,Other debts,6787
2004,Ulvila,Other debts,8676
2004,Eura,Other debts,7285
2004,Eurajoki,Other debts,10024
2004,Rauma,Other debts,6655
2004,Säkylä,Other debts,7917
2004,Akaa,Other debts,7088
2004,Urjala,Other debts,6506
2004,Valkeakoski,Other debts,6791
2004,Punkalaidun,Other debts,7042
2004,Sastamala,Other debts,7345
2004,Ikaalinen,Other debts,6704
2004,Kihniö,Other debts,7121
2004,Parkano,Other debts,6872
2004,Hämeenkyrö,Other debts,5885
2004,Kangasala,Other debts,8450
2004,Lempäälä,Other debts,8289
2004,Nokia,Other debts,6907
2004,Orivesi,Other debts,7231
